hgnc_id	symbol	ensembl_gene_id	% identical aa >0	% identical aa >10	% identical aa >20	% identical aa >30	% identical aa >40	% identical aa >50
HGNC:39	ABCA9	ENSG00000154258	11	11	11	4	4	3
HGNC:30	ABCA10	ENSG00000154263	11	11	11	4	4	3
HGNC:14637	ABCA12	ENSG00000144452	11	11	6	1	0	0
HGNC:14638	ABCA13	ENSG00000179869	11	6	0	0	0	0
HGNC:40	ABCB1	ENSG00000085563	10	10	3	3	3	3
HGNC:45	ABCB4	ENSG00000005471	10	10	3	3	3	2
HGNC:46	ABCB5	ENSG00000004846	10	10	3	3	3	2
HGNC:47	ABCB6	ENSG00000115657	10	10	5	1	0	0
HGNC:48	ABCB7	ENSG00000131269	10	10	9	1	0	0
HGNC:49	ABCB8	ENSG00000197150	10	10	10	2	0	0
HGNC:50	ABCB9	ENSG00000150967	10	10	10	4	0	0
HGNC:41	ABCB10	ENSG00000135776	10	10	10	5	0	0
HGNC:42	ABCB11	ENSG00000073734	10	10	3	3	3	0
HGNC:51	ABCC1	ENSG00000103222	11	11	11	8	3	1
HGNC:53	ABCC2	ENSG00000023839	11	11	11	5	2	0
HGNC:54	ABCC3	ENSG00000108846	11	11	11	6	3	1
HGNC:55	ABCC4	ENSG00000125257	11	11	11	11	0	0
HGNC:56	ABCC5	ENSG00000114770	11	11	11	6	1	0
HGNC:57	ABCC6	ENSG00000091262	11	11	11	3	2	0
HGNC:59	ABCC8	ENSG00000006071	11	11	11	3	1	1
HGNC:60	ABCC9	ENSG00000069431	11	11	11	3	1	1
HGNC:52	ABCC10	ENSG00000124574	11	11	11	3	0	0
HGNC:14639	ABCC11	ENSG00000121270	11	11	11	5	2	0
HGNC:14640	ABCC12	ENSG00000140798	11	11	11	6	2	0
HGNC:61	ABCD1	ENSG00000101986	3	3	3	2	1	1
HGNC:66	ABCD2	ENSG00000173208	3	3	3	2	1	1
HGNC:67	ABCD3	ENSG00000117528	3	3	3	2	1	0
HGNC:68	ABCD4	ENSG00000119688	3	3	3	0	0	0
HGNC:69	ABCE1	ENSG00000164163	0	0	0	0	0	0
HGNC:70	ABCF1	ENSG00000204574	2	2	2	1	0	0
HGNC:71	ABCF2	ENSG00000033050	2	2	2	2	0	0
HGNC:72	ABCF3	ENSG00000161204	2	2	2	2	0	0
HGNC:73	ABCG1	ENSG00000160179	4	4	4	1	1	1
HGNC:74	ABCG2	ENSG00000118777	4	4	4	0	0	0
HGNC:13884	ABCG4	ENSG00000172350	4	4	4	1	1	1
HGNC:13886	ABCG5	ENSG00000138075	4	4	4	0	0	0
HGNC:13887	ABCG8	ENSG00000143921	4	4	4	0	0	0
HGNC:17553	ABHD1	ENSG00000143994	3	3	3	1	1	0
HGNC:18717	ABHD2	ENSG00000140526	3	3	2	0	0	0
HGNC:18718	ABHD3	ENSG00000158201	3	3	3	1	1	0
HGNC:20154	ABHD4	ENSG00000100439	12	12	1	1	1	1
HGNC:21396	ABHD5	ENSG00000011198	12	12	2	1	1	1
HGNC:21398	ABHD6	ENSG00000163686	12	11	0	0	0	0
HGNC:23759	ABHD8	ENSG00000127220	12	9	0	0	0	0
HGNC:25656	ABHD10	ENSG00000144827	0	0	0	0	0	0
HGNC:16407	ABHD11	ENSG00000106077	12	12	0	0	0	0
HGNC:15868	ABHD12	ENSG00000100997	7	7	2	1	0	0
HGNC:19837	ABHD12B	ENSG00000131969	7	7	3	1	1	0
HGNC:20293	ABHD13	ENSG00000139826	7	7	3	0	0	0
HGNC:24538	ABHD14A	ENSG00000248487	12	12	3	1	0	0
HGNC:28235	ABHD14B	ENSG00000114779	12	12	4	1	1	0
HGNC:26971	ABHD15	ENSG00000168792	3	3	2	0	0	0
HGNC:13921	ABHD16A	ENSG00000204427	7	6	1	1	1	0
HGNC:16128	ABHD16B	ENSG00000183260	7	4	1	1	1	1
HGNC:28756	ABHD17A	ENSG00000129968	7	7	3	2	2	2
HGNC:24278	ABHD17B	ENSG00000107362	7	7	6	2	2	2
HGNC:26925	ABHD17C	ENSG00000136379	7	7	4	2	2	2
HGNC:26111	ABHD18	ENSG00000164074	0	0	0	0	0	0
HGNC:11320	ABI1	ENSG00000136754	2	2	2	2	1	1
HGNC:24011	ABI2	ENSG00000138443	2	2	2	2	1	1
HGNC:29859	ABI3	ENSG00000108798	2	2	2	2	2	0
HGNC:17265	ABI3BP	ENSG00000154175	1	1	1	1	0	0
HGNC:76	ABL1	ENSG00000097007	32	31	1	1	1	1
HGNC:77	ABL2	ENSG00000143322	32	31	1	1	1	1
HGNC:78	ABLIM1	ENSG00000099204	3	3	3	2	2	0
HGNC:19195	ABLIM2	ENSG00000163995	3	3	2	2	2	2
HGNC:29132	ABLIM3	ENSG00000173210	3	3	3	2	2	1
HGNC:79	ABO	ENSG00000175164	3	3	3	2	0	0
HGNC:81	ABR	ENSG00000159842	1	1	1	1	1	1
HGNC:30655	ABRA	ENSG00000174429	0	0	0	0	0	0
HGNC:21230	ABRACL	ENSG00000146386	0	0	0	0	0	0
HGNC:25829	ABRAXAS1	ENSG00000163322	1	1	1	0	0	0
HGNC:28975	ABRAXAS2	ENSG00000165660	1	1	1	0	0	0
HGNC:17369	ABT1	ENSG00000146109	0	0	0	0	0	0
HGNC:18275	ABTB1	ENSG00000114626	11	11	0	0	0	0
HGNC:23842	ABTB2	ENSG00000166016	11	1	1	1	1	1
HGNC:82	ACAA1	ENSG00000060971	4	4	4	4	0	0
HGNC:83	ACAA2	ENSG00000167315	4	4	4	4	2	0
HGNC:84	ACACA	ENSG00000278540	4	2	1	1	1	1
HGNC:85	ACACB	ENSG00000076555	4	2	1	1	1	1
HGNC:87	ACAD8	ENSG00000151498	14	14	10	6	0	0
HGNC:21497	ACAD9	ENSG00000177646	14	14	6	1	1	0
HGNC:21597	ACAD10	ENSG00000111271	14	4	1	1	0	0
HGNC:30211	ACAD11	ENSG00000240303	14	11	1	1	1	0
HGNC:88	ACADL	ENSG00000115361	14	14	10	3	0	0
HGNC:89	ACADM	ENSG00000117054	14	14	10	2	0	0
HGNC:90	ACADS	ENSG00000122971	14	14	11	7	0	0
HGNC:91	ACADSB	ENSG00000196177	14	14	10	6	0	0
HGNC:92	ACADVL	ENSG00000072778	14	14	2	1	1	0
HGNC:319	ACAN	ENSG00000157766	7	3	1	0	0	0
HGNC:16467	ACAP1	ENSG00000072818	28	18	7	2	2	2
HGNC:16469	ACAP2	ENSG00000114331	28	18	5	2	2	2
HGNC:16754	ACAP3	ENSG00000131584	28	17	5	2	2	1
HGNC:93	ACAT1	ENSG00000075239	4	4	4	4	1	0
HGNC:94	ACAT2	ENSG00000120437	4	4	4	4	3	0
HGNC:15453	ACBD3	ENSG00000182827	1	1	0	0	0	0
HGNC:23337	ACBD4	ENSG00000181513	4	3	1	0	0	0
HGNC:23338	ACBD5	ENSG00000107897	4	2	0	0	0	0
HGNC:23339	ACBD6	ENSG00000230124	0	0	0	0	0	0
HGNC:17715	ACBD7	ENSG00000176244	4	4	4	4	2	1
HGNC:23989	ACCS	ENSG00000110455	7	7	1	1	1	0
HGNC:34391	ACCSL	ENSG00000205126	7	7	1	1	1	0
HGNC:25070	ACD	ENSG00000102977	0	0	0	0	0	0
HGNC:2707	ACE	ENSG00000159640	1	1	1	0	0	0
HGNC:13557	ACE2	ENSG00000130234	1	1	1	1	0	0
HGNC:18356	ACER1	ENSG00000167769	2	2	2	1	0	0
HGNC:23675	ACER2	ENSG00000177076	2	2	2	1	0	0
HGNC:16066	ACER3	ENSG00000078124	2	2	2	0	0	0
HGNC:108	ACHE	ENSG00000087085	13	13	13	6	1	0
HGNC:17066	ACIN1	ENSG00000100813	0	0	0	0	0	0
HGNC:4035	ACKR1	ENSG00000213088	0	0	0	0	0	0
HGNC:1565	ACKR2	ENSG00000144648	23	23	22	7	0	0
HGNC:23692	ACKR3	ENSG00000144476	23	23	22	0	0	0
HGNC:1611	ACKR4	ENSG00000129048	23	23	21	10	0	0
HGNC:115	ACLY	ENSG00000131473	0	0	0	0	0	0
HGNC:19288	ACMSD	ENSG00000153086	0	0	0	0	0	0
HGNC:117	ACO1	ENSG00000122729	2	2	2	1	1	1
HGNC:118	ACO2	ENSG00000100412	2	2	2	0	0	0
HGNC:33904	ACOD1	ENSG00000102794	0	0	0	0	0	0
HGNC:33128	ACOT1	ENSG00000184227	4	4	4	3	3	2
HGNC:18431	ACOT2	ENSG00000119673	4	4	4	3	2	2
HGNC:19748	ACOT4	ENSG00000177465	4	4	4	3	3	2
HGNC:33159	ACOT6	ENSG00000205669	4	4	4	4	3	3
HGNC:24157	ACOT7	ENSG00000097021	2	2	2	0	0	0
HGNC:15919	ACOT8	ENSG00000101473	0	0	0	0	0	0
HGNC:17152	ACOT9	ENSG00000123130	0	0	0	0	0	0
HGNC:18156	ACOT11	ENSG00000162390	2	2	1	1	1	0
HGNC:24436	ACOT12	ENSG00000172497	2	2	1	1	1	0
HGNC:20999	ACOT13	ENSG00000112304	0	0	0	0	0	0
HGNC:119	ACOX1	ENSG00000161533	14	11	3	2	1	0
HGNC:120	ACOX2	ENSG00000168306	14	12	3	1	1	0
HGNC:121	ACOX3	ENSG00000087008	14	13	3	0	0	0
HGNC:25621	ACOXL	ENSG00000153093	14	14	3	0	0	0
HGNC:122	ACP1	ENSG00000143727	1	1	0	0	0	0
HGNC:123	ACP2	ENSG00000134575	5	4	3	2	2	0
HGNC:14376	ACP4	ENSG00000142513	5	4	4	2	1	0
HGNC:124	ACP5	ENSG00000102575	0	0	0	0	0	0
HGNC:29609	ACP6	ENSG00000162836	5	4	3	0	0	0
HGNC:33781	ACP7	ENSG00000183760	0	0	0	0	0	0
HGNC:125	ACPP	ENSG00000014257	5	4	4	2	1	0
HGNC:126	ACR	ENSG00000100312	0	0	0	0	0	0
HGNC:17195	ACRBP	ENSG00000111644	0	0	0	0	0	0
HGNC:127	ACRV1	ENSG00000134940	4	3	0	0	0	0
HGNC:29567	ACSBG1	ENSG00000103740	12	12	6	1	1	0
HGNC:24174	ACSBG2	ENSG00000130377	12	12	6	1	1	0
HGNC:26101	ACSF2	ENSG00000167107	13	13	5	0	0	0
HGNC:27288	ACSF3	ENSG00000176715	13	13	4	0	0	0
HGNC:3569	ACSL1	ENSG00000151726	12	12	6	4	2	2
HGNC:3570	ACSL3	ENSG00000123983	12	12	6	4	1	1
HGNC:3571	ACSL4	ENSG00000068366	12	12	6	2	1	1
HGNC:16526	ACSL5	ENSG00000197142	12	12	6	3	2	2
HGNC:16496	ACSL6	ENSG00000164398	12	12	6	3	2	2
HGNC:18049	ACSM1	ENSG00000166743	13	13	10	6	5	5
HGNC:32017	ACSM2A	ENSG00000183747	13	13	10	6	5	5
HGNC:30931	ACSM2B	ENSG00000066813	13	13	10	6	5	5
HGNC:10522	ACSM3	ENSG00000005187	13	13	11	6	5	5
HGNC:32016	ACSM4	ENSG00000215009	13	13	11	6	5	5
HGNC:26060	ACSM5	ENSG00000183549	13	13	11	6	5	5
HGNC:31665	ACSM6	ENSG00000173124	13	13	7	6	6	0
HGNC:16091	ACSS1	ENSG00000154930	13	13	8	2	1	0
HGNC:15814	ACSS2	ENSG00000131069	13	13	6	2	1	0
HGNC:24723	ACSS3	ENSG00000111058	13	13	2	2	0	0
HGNC:129	ACTA1	ENSG00000143632	26	26	25	21	17	8
HGNC:130	ACTA2	ENSG00000107796	26	26	24	21	17	8
HGNC:132	ACTB	ENSG00000075624	26	26	25	21	18	8
HGNC:17780	ACTBL2	ENSG00000169067	26	26	25	21	16	8
HGNC:143	ACTC1	ENSG00000159251	26	26	24	21	18	8
HGNC:144	ACTG1	ENSG00000184009	26	26	25	21	18	8
HGNC:145	ACTG2	ENSG00000163017	26	26	24	21	17	8
HGNC:24124	ACTL6A	ENSG00000136518	26	26	21	9	1	1
HGNC:160	ACTL6B	ENSG00000077080	26	26	21	10	1	1
HGNC:161	ACTL7A	ENSG00000187003	26	26	23	13	1	1
HGNC:162	ACTL7B	ENSG00000148156	26	26	24	16	1	1
HGNC:24018	ACTL8	ENSG00000117148	26	26	23	13	0	0
HGNC:28494	ACTL9	ENSG00000181786	26	26	23	15	1	0
HGNC:16127	ACTL10	ENSG00000182584	26	26	24	13	0	0
HGNC:163	ACTN1	ENSG00000072110	36	25	15	6	3	3
HGNC:164	ACTN2	ENSG00000077522	36	24	15	6	3	3
HGNC:165	ACTN3	ENSG00000248746	36	24	15	3	3	3
HGNC:166	ACTN4	ENSG00000130402	36	25	15	6	3	3
HGNC:167	ACTR1A	ENSG00000138107	26	26	24	20	12	8
HGNC:168	ACTR1B	ENSG00000115073	26	26	24	20	13	8
HGNC:169	ACTR2	ENSG00000138071	26	26	23	17	9	0
HGNC:170	ACTR3	ENSG00000115091	26	26	24	14	2	1
HGNC:17256	ACTR3B	ENSG00000133627	26	26	24	14	2	1
HGNC:37282	ACTR3C	ENSG00000106526	26	25	24	13	2	2
HGNC:14671	ACTR5	ENSG00000101442	26	25	1	0	0	0
HGNC:24025	ACTR6	ENSG00000075089	26	26	22	0	0	0
HGNC:14672	ACTR8	ENSG00000113812	26	19	0	0	0	0
HGNC:17372	ACTR10	ENSG00000131966	26	26	19	0	0	0
HGNC:24027	ACTRT1	ENSG00000123165	26	26	23	19	10	1
HGNC:24026	ACTRT2	ENSG00000169717	26	26	23	19	11	1
HGNC:24022	ACTRT3	ENSG00000184378	26	26	24	20	11	0
HGNC:171	ACVR1	ENSG00000115170	11	11	11	7	6	1
HGNC:172	ACVR1B	ENSG00000135503	11	11	11	6	6	2
HGNC:18123	ACVR1C	ENSG00000123612	11	11	11	8	6	3
HGNC:173	ACVR2A	ENSG00000121989	11	11	11	3	1	1
HGNC:174	ACVR2B	ENSG00000114739	11	11	11	3	1	1
HGNC:175	ACVRL1	ENSG00000139567	11	11	11	6	6	1
HGNC:177	ACY1	ENSG00000243989	3	3	1	0	0	0
HGNC:24104	ACY3	ENSG00000132744	1	1	1	1	1	0
HGNC:179	ACYP1	ENSG00000119640	1	1	1	1	0	0
HGNC:180	ACYP2	ENSG00000170634	1	1	1	0	0	0
HGNC:186	ADA	ENSG00000196839	2	2	1	0	0	0
HGNC:1839	ADA2	ENSG00000093072	2	2	0	0	0	0
HGNC:30713	ADAD1	ENSG00000164113	14	10	4	0	0	0
HGNC:30714	ADAD2	ENSG00000140955	14	5	4	0	0	0
HGNC:31853	ADAL	ENSG00000168803	2	2	1	0	0	0
HGNC:198	ADAM2	ENSG00000104755	20	20	17	3	2	0
HGNC:214	ADAM7	ENSG00000069206	20	20	18	1	0	0
HGNC:215	ADAM8	ENSG00000151651	20	20	17	5	0	0
HGNC:216	ADAM9	ENSG00000168615	20	20	17	7	0	0
HGNC:188	ADAM10	ENSG00000137845	20	20	7	0	0	0
HGNC:189	ADAM11	ENSG00000073670	20	20	17	3	2	1
HGNC:190	ADAM12	ENSG00000148848	20	20	17	5	1	0
HGNC:193	ADAM15	ENSG00000143537	20	20	16	5	0	0
HGNC:195	ADAM17	ENSG00000151694	20	19	1	0	0	0
HGNC:196	ADAM18	ENSG00000168619	20	20	17	3	1	0
HGNC:197	ADAM19	ENSG00000135074	20	20	16	5	1	0
HGNC:199	ADAM20	ENSG00000134007	20	20	17	4	2	1
HGNC:200	ADAM21	ENSG00000139985	20	20	17	4	2	1
HGNC:201	ADAM22	ENSG00000008277	20	20	15	2	2	0
HGNC:202	ADAM23	ENSG00000114948	20	20	17	2	2	0
HGNC:206	ADAM28	ENSG00000042980	20	20	18	7	0	0
HGNC:207	ADAM29	ENSG00000168594	20	20	17	4	2	0
HGNC:208	ADAM30	ENSG00000134249	20	20	17	4	0	0
HGNC:15479	ADAM32	ENSG00000197140	20	20	17	2	0	0
HGNC:15478	ADAM33	ENSG00000149451	20	20	17	5	2	0
HGNC:16299	ADAMDEC1	ENSG00000134028	20	20	18	4	1	0
HGNC:217	ADAMTS1	ENSG00000154734	25	25	18	8	3	0
HGNC:218	ADAMTS2	ENSG00000087116	25	24	16	2	2	2
HGNC:219	ADAMTS3	ENSG00000156140	25	24	17	2	2	2
HGNC:220	ADAMTS4	ENSG00000158859	25	25	18	11	3	0
HGNC:221	ADAMTS5	ENSG00000154736	25	25	18	8	1	0
HGNC:222	ADAMTS6	ENSG00000049192	25	25	18	10	1	1
HGNC:223	ADAMTS7	ENSG00000136378	25	24	10	1	1	0
HGNC:224	ADAMTS8	ENSG00000134917	25	25	18	9	3	0
HGNC:13202	ADAMTS9	ENSG00000163638	25	24	5	1	1	0
HGNC:13201	ADAMTS10	ENSG00000142303	25	25	18	7	1	1
HGNC:14605	ADAMTS12	ENSG00000151388	25	24	12	1	1	0
HGNC:1366	ADAMTS13	ENSG00000160323	25	24	6	0	0	0
HGNC:14899	ADAMTS14	ENSG00000138316	25	24	15	2	2	2
HGNC:16305	ADAMTS15	ENSG00000166106	25	25	18	12	4	0
HGNC:17108	ADAMTS16	ENSG00000145536	25	25	18	6	1	1
HGNC:17109	ADAMTS17	ENSG00000140470	25	24	18	8	1	1
HGNC:17110	ADAMTS18	ENSG00000140873	25	25	18	6	1	1
HGNC:17111	ADAMTS19	ENSG00000145808	25	24	17	3	1	0
HGNC:17178	ADAMTS20	ENSG00000173157	25	24	4	1	1	1
HGNC:14632	ADAMTSL1	ENSG00000178031	25	18	1	1	1	0
HGNC:14631	ADAMTSL2	ENSG00000197859	25	25	12	0	0	0
HGNC:14633	ADAMTSL3	ENSG00000156218	25	19	1	1	1	0
HGNC:19706	ADAMTSL4	ENSG00000143382	25	25	8	1	0	0
HGNC:27912	ADAMTSL5	ENSG00000185761	25	25	24	1	0	0
HGNC:16486	ADAP1	ENSG00000105963	28	27	4	1	1	1
HGNC:16487	ADAP2	ENSG00000184060	28	27	5	1	1	1
HGNC:225	ADAR	ENSG00000160710	14	4	0	0	0	0
HGNC:226	ADARB1	ENSG00000197381	14	11	3	1	1	1
HGNC:227	ADARB2	ENSG00000185736	14	11	3	2	1	1
HGNC:228	ADAT1	ENSG00000065457	14	9	4	0	0	0
HGNC:21172	ADAT2	ENSG00000189007	1	1	1	0	0	0
HGNC:25151	ADAT3	ENSG00000213638	1	1	0	0	0	0
HGNC:19038	ADCK1	ENSG00000063761	4	4	1	1	0	0
HGNC:19039	ADCK2	ENSG00000133597	4	4	0	0	0	0
HGNC:21738	ADCK5	ENSG00000173137	4	4	1	1	0	0
HGNC:232	ADCY1	ENSG00000164742	17	14	8	7	0	0
HGNC:233	ADCY2	ENSG00000078295	17	13	8	7	2	2
HGNC:234	ADCY3	ENSG00000138031	17	13	8	7	0	0
HGNC:235	ADCY4	ENSG00000129467	17	13	8	7	2	2
HGNC:236	ADCY5	ENSG00000173175	17	13	8	7	1	1
HGNC:237	ADCY6	ENSG00000174233	17	13	8	7	1	1
HGNC:238	ADCY7	ENSG00000121281	17	13	8	7	2	2
HGNC:239	ADCY8	ENSG00000155897	17	13	8	4	0	0
HGNC:240	ADCY9	ENSG00000162104	17	10	8	0	0	0
HGNC:21285	ADCY10	ENSG00000143199	0	0	0	0	0	0
HGNC:241	ADCYAP1	ENSG00000141433	2	2	1	0	0	0
HGNC:242	ADCYAP1R1	ENSG00000078549	43	41	14	5	3	0
HGNC:243	ADD1	ENSG00000087274	2	2	2	2	2	0
HGNC:244	ADD2	ENSG00000075340	2	2	2	2	2	1
HGNC:245	ADD3	ENSG00000148700	2	2	2	2	2	2
HGNC:21212	ADGB	ENSG00000118492	20	0	0	0	0	0
HGNC:13838	ADGRA1	ENSG00000197177	43	23	2	2	1	0
HGNC:17849	ADGRA2	ENSG00000020181	43	14	1	1	1	0
HGNC:13839	ADGRA3	ENSG00000152990	43	14	1	1	1	0
HGNC:943	ADGRB1	ENSG00000181790	43	13	2	2	2	0
HGNC:944	ADGRB2	ENSG00000121753	43	13	2	2	2	0
HGNC:945	ADGRB3	ENSG00000135298	43	15	2	2	2	0
HGNC:19893	ADGRD1	ENSG00000111452	43	26	2	0	0	0
HGNC:18651	ADGRD2	ENSG00000180264	43	24	0	0	0	0
HGNC:3336	ADGRE1	ENSG00000174837	43	27	6	1	0	0
HGNC:3337	ADGRE2	ENSG00000127507	43	30	8	3	2	1
HGNC:23647	ADGRE3	ENSG00000131355	43	42	9	3	1	1
HGNC:1711	ADGRE5	ENSG00000123146	43	30	8	2	1	1
HGNC:18990	ADGRF1	ENSG00000153292	43	26	4	1	0	0
HGNC:18991	ADGRF2	ENSG00000164393	43	26	4	3	1	0
HGNC:18989	ADGRF3	ENSG00000173567	43	25	1	0	0	0
HGNC:19011	ADGRF4	ENSG00000153294	43	29	4	3	1	0
HGNC:19030	ADGRF5	ENSG00000069122	43	17	1	0	0	0
HGNC:4512	ADGRG1	ENSG00000205336	43	30	5	0	0	0
HGNC:4516	ADGRG2	ENSG00000173698	43	26	2	2	0	0
HGNC:13728	ADGRG3	ENSG00000182885	43	39	11	1	0	0
HGNC:18992	ADGRG4	ENSG00000156920	43	2	0	0	0	0
HGNC:19010	ADGRG5	ENSG00000159618	43	41	11	1	0	0
HGNC:13841	ADGRG6	ENSG00000112414	43	24	2	0	0	0
HGNC:19241	ADGRG7	ENSG00000144820	43	26	2	0	0	0
HGNC:20973	ADGRL1	ENSG00000072071	43	21	2	2	2	2
HGNC:18582	ADGRL2	ENSG00000117114	43	21	2	2	2	2
HGNC:20974	ADGRL3	ENSG00000150471	43	21	2	2	2	2
HGNC:20822	ADGRL4	ENSG00000162618	43	35	8	3	0	0
HGNC:17416	ADGRV1	ENSG00000164199	7	0	0	0	0	0
HGNC:249	ADH1A	ENSG00000187758	17	17	10	6	6	6
HGNC:250	ADH1B	ENSG00000196616	17	17	10	6	6	6
HGNC:251	ADH1C	ENSG00000248144	17	17	9	6	6	6
HGNC:252	ADH4	ENSG00000198099	17	17	6	6	6	6
HGNC:253	ADH5	ENSG00000197894	17	17	8	6	6	6
HGNC:255	ADH6	ENSG00000172955	17	17	8	6	6	6
HGNC:256	ADH7	ENSG00000196344	17	17	7	6	6	6
HGNC:16354	ADHFE1	ENSG00000147576	0	0	0	0	0	0
HGNC:30576	ADI1	ENSG00000182551	0	0	0	0	0	0
HGNC:28606	ADIG	ENSG00000182035	0	0	0	0	0	0
HGNC:13633	ADIPOQ	ENSG00000181092	23	23	22	10	4	0
HGNC:24040	ADIPOR1	ENSG00000159346	10	7	2	1	1	1
HGNC:24041	ADIPOR2	ENSG00000006831	10	7	2	1	1	1
HGNC:24043	ADIRF	ENSG00000148671	0	0	0	0	0	0
HGNC:257	ADK	ENSG00000156110	3	2	0	0	0	0
HGNC:259	ADM	ENSG00000148926	1	1	0	0	0	0
HGNC:28898	ADM2	ENSG00000128165	1	1	1	0	0	0
HGNC:27293	ADM5	ENSG00000224420	0	0	0	0	0	0
HGNC:15766	ADNP	ENSG00000101126	1	1	1	0	0	0
HGNC:23803	ADNP2	ENSG00000101544	1	1	1	0	0	0
HGNC:23506	ADO	ENSG00000181915	0	0	0	0	0	0
HGNC:262	ADORA1	ENSG00000163485	3	3	3	3	3	0
HGNC:263	ADORA2A	ENSG00000128271	3	3	3	3	1	0
HGNC:264	ADORA2B	ENSG00000170425	3	3	3	3	2	1
HGNC:268	ADORA3	ENSG00000282608	3	3	3	3	1	0
HGNC:25250	ADPGK	ENSG00000159322	0	0	0	0	0	0
HGNC:269	ADPRH	ENSG00000144843	1	1	1	1	1	0
HGNC:21303	ADPRHL1	ENSG00000153531	1	1	1	1	1	0
HGNC:21304	ADPRHL2	ENSG00000116863	0	0	0	0	0	0
HGNC:30925	ADPRM	ENSG00000170222	0	0	0	0	0	0
HGNC:277	ADRA1A	ENSG00000120907	18	18	9	2	2	0
HGNC:278	ADRA1B	ENSG00000170214	18	17	9	2	2	0
HGNC:280	ADRA1D	ENSG00000171873	18	12	9	2	1	0
HGNC:281	ADRA2A	ENSG00000150594	18	18	9	2	2	1
HGNC:282	ADRA2B	ENSG00000274286	18	17	9	2	2	0
HGNC:283	ADRA2C	ENSG00000184160	18	17	9	2	2	1
HGNC:285	ADRB1	ENSG00000043591	18	18	9	2	2	0
HGNC:286	ADRB2	ENSG00000169252	18	18	10	2	2	1
HGNC:288	ADRB3	ENSG00000188778	18	18	10	5	2	1
HGNC:15759	ADRM1	ENSG00000130706	0	0	0	0	0	0
HGNC:291	ADSL	ENSG00000239900	2	2	0	0	0	0
HGNC:292	ADSS	ENSG00000035687	1	1	1	1	1	1
HGNC:20093	ADSSL1	ENSG00000185100	1	1	1	1	1	1
HGNC:21214	ADTRP	ENSG00000111863	1	1	1	1	0	0
HGNC:303	AEBP1	ENSG00000106624	7	7	3	2	0	0
HGNC:24051	AEBP2	ENSG00000139154	14	14	1	0	0	0
HGNC:25722	AEN	ENSG00000181026	5	5	5	1	0	0
HGNC:307	AES	ENSG00000104964	6	4	4	4	4	2
HGNC:24017	AFAP1	ENSG00000196526	2	2	2	2	1	0
HGNC:26714	AFAP1L1	ENSG00000157510	2	2	2	2	1	0
HGNC:25901	AFAP1L2	ENSG00000169129	2	2	2	2	0	0
HGNC:7137	AFDN	ENSG00000130396	0	0	0	0	0	0
